"adm_0_name","adm_0_code","adm_1_name","adm_1_code","adm_2_name","adm_2_code","calendar_start_date","calendar_end_date","dengue_total","UUID","source_cat"
"Argentina",12,NA,NA,NA,NA,"2007-01-01","2007-12-31",173,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,NA,NA,NA,NA,"2008-01-01","2008-12-31",40,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,NA,NA,NA,NA,"2009-01-01","2009-12-31",26612,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,NA,NA,NA,NA,"2010-01-01","2010-12-31",1185,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,NA,NA,NA,NA,"2011-01-01","2011-12-31",213,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Argentina",12,NA,NA,NA,NA,"2012-01-01","2012-12-31",2803,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"1995-01-01","1995-12-31",37,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"1996-01-01","1996-12-31",10,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"1999-01-01","1999-12-31",130,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2000-01-01","2000-12-31",76,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2001-01-01","2001-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2002-01-01","2002-12-31",25,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2004-01-01","2004-12-31",173,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2005-01-01","2005-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2006-01-01","2006-12-31",5,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2007-01-01","2007-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2008-01-01","2008-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2009-01-01","2009-12-31",845,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2010-01-01","2010-12-31",1415,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2011-01-01","2011-12-31",3027,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Aruba",14,NA,NA,NA,NA,"2012-01-01","2012-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1960-01-01","1960-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1961-01-01","1961-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1962-01-01","1962-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1963-01-01","1963-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1964-01-01","1964-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1965-01-01","1965-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1966-01-01","1966-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1967-01-01","1967-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
"Bahamas",20,NA,NA,NA,NA,"1968-01-01","1968-12-31",0,"9e928a4b-c739-11ed-aa9a-1e00d12e8869","tycho"
