original_filename,standard_filename,UUID,metadata_url,metadata_steps
Nicaragua_A1_2004_2022_EW19_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW19_PAHO_raw.csv,9e9282c1-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW20_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW20_PAHO_raw.csv,9e9282ca-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW21_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW21_PAHO_raw.csv,9e9282cb-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW22_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW22_PAHO_raw.csv,9e9282cc-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW23_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW23_PAHO_raw.csv,9e9282d4-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW24_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW24_PAHO_raw.csv,9e9282d5-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW25_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW25_PAHO_raw.csv,9e9282d6-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW26_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW26_PAHO_raw.csv,9e9282d7-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW27_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW27_PAHO_raw.csv,9e9282de-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW28_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW28_PAHO_raw.csv,9e9282df-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
Nicaragua_A1_2004_2022_EW29_PAHO_raw.csv,Nicaragua_A1_2004_2022_EW29_PAHO_raw.csv,9e9282e8-c739-11ed-aa9a-1e00d12e8869,https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html,"dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset. "
